Location,Male,Female,Total,Footnotes
United States,151538800,158673400,310212200,1
Alabama,2270700,2443400,4714100,
Alaska,365500,341100,706600,
Arizona,3213000,3343300,6556200,
Arkansas,1403300,1476700,2880000,
California,18709600,19272000,37981600,
Colorado,2596300,2620800,5217000,
Connecticut,1690800,1789600,3480400,
Delaware,436500,468700,905300,
District of Columbia,295300,328200,623500,
Florida,9419900,10011200,19431100,
Georgia,4715100,5077800,9792900,
Hawaii,662100,686000,1348100,
Idaho,793400,805400,1598800,
Illinois,6132900,6436500,12569400,
Indiana,3127500,3259200,6386700,
Iowa,1491100,1511000,3002100,
Kansas,1380100,1430600,2810700,
Kentucky,2093800,2175000,4268800,
Louisiana,2174300,2334200,4508500,
Maine,623900,670000,1293800,
Maryland,2806100,3013200,5819300,
Massachusetts,3154700,3351800,6506500,
Michigan,4733300,4949400,9682700,
Minnesota,2638000,2692400,5330400,
Mississippi,1389300,1497500,2886800,
Missouri,2857800,3012500,5870200,
Montana,493100,500600,993700,
Nebraska,907800,915900,1823700,
Nevada,1394400,1400800,2795200,
New Hampshire,633800,652700,1286500,
New Jersey,4261900,4494300,8756200,
New Mexico,995900,1040800,2036700,
New York,9293200,9923200,19216400,
North Carolina,4635800,4997200,9632900,
North Dakota,359600,348800,708400,
Ohio,5498400,5771900,11270300,
Oklahoma,1831900,1917600,3749500,
Oregon,1914100,1975500,3889600,
Pennsylvania,6021700,6346400,12368000,
Rhode Island,490200,523600,1013700,
South Carolina,2249300,2425000,4674300,
South Dakota,411100,410500,821600,
Tennessee,3086900,3287900,6374800,
Texas,12912200,13367800,26280100,
Utah,1445400,1446400,2891800,
Vermont,292400,307600,6.00E+05,
Virginia,3875400,4130500,8006000,
Washington,3419900,3467700,6887600,
West Virginia,881600,910100,1791600,
Wisconsin,2770400,2833200,5603600,
Wyoming,288200,280300,568500,
Puerto Rico,1680300,1833700,3514000,
